2020-09-28 14:32:01,520|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/my-xem-xet-gioi-han-visa-2-nam-voi-du-hoc-sinh-4167233.html
2020-09-28 14:32:01,614|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoc-sinh-12-tuoi-lap-ky-luc-tang-bong-nghe-thuat-4167186.html
2020-09-28 14:32:01,661|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/da-den-luc-phai-cho-hoc-sinh-dung-dien-thoai-tren-lop-4166997.html
2020-09-28 14:32:01,739|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/bon-cau-do-toan-hoc-4167440.html
2020-09-28 14:32:01,770|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/dh-kinh-te-tp-hcm-co-hieu-truong-moi-4166681.html
2020-09-28 14:32:01,895|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tre-mam-non-hoc-giao-thong-qua-phim-hoat-hinh-4166257.html
2020-09-28 14:32:02,030|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nhieu-suat-hoc-chuong-trinh-du-hoc-tai-cho-lien-ket-quoc-te-4166458.html
2020-09-28 14:32:02,114|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/dai-hoc-australia-lo-pha-san-4166686.html
2020-09-28 14:32:02,177|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/no-luc-cua-cac-truong-tai-hoang-su-phi-trong-nam-hoc-moi-4166818.html
2020-09-28 14:32:02,286|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tai-sao-danh-con-la-sai-lam-4166480.html
2020-09-28 14:32:02,520|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/viet-nam-gianh-huy-chuong-vang-olympic-tin-hoc-quoc-te-4166417.html
2020-09-28 14:32:02,738|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tim-diem-bat-hop-ly-trong-tranh-4166872.html
2020-09-28 14:32:02,894|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoc-gi-de-tro-thanh-giao-vien-tieng-anh-4166875.html
2020-09-28 14:32:03,087|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/trung-quoc-keu-goi-bao-ve-hoc-sinh-truoc-cac-vu-tan-cong-4166789.html
2020-09-28 14:32:03,232|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/giu-on-dinh-ky-thi-tot-nghiep-thpt-2021-4166372.html
2020-09-28 14:32:03,288|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/bon-cach-de-lang-nghe-con-tot-nhat-4167763.html
2020-09-28 14:32:03,398|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoc-sinh-lop-8-roi-tu-tang-hai-xuong-dat-4167705.html
2020-09-28 14:32:03,491|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/quy-mo-sinh-vien-cua-10-dai-hoc-tot-nhat-the-gioi-4167669.html
2020-09-28 14:32:03,623|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/lam-the-nao-nuoi-day-tre-song-ngu-4167613.html
2020-09-28 14:32:03,692|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/the-duc-tri-nao-voi-nam-cau-do-4167679.html
2020-09-28 14:32:03,707|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/thu-khoa-ky-thi-dai-hoc-o-afghanistan-4167751.html
2020-09-28 14:32:03,786|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nam-hoc-moi-con-nhieu-kho-khan-cua-hoc-sinh-vung-cao-4166844.html
2020-09-28 14:32:03,911|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hang-tram-tre-hoc-o-hoi-truong-thon-4167148.html
2020-09-28 14:32:03,957|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/lam-gi-khi-tre-gian-du-4167381.html
2020-09-28 14:32:04,068|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/my-xem-xet-gioi-han-visa-2-nam-voi-du-hoc-sinh-4167233.html
2020-09-28 14:32:04,115|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoc-sinh-12-tuoi-lap-ky-luc-tang-bong-nghe-thuat-4167186.html
2020-09-28 14:32:04,178|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/dh-kinh-te-tp-hcm-co-hieu-truong-moi-4166681.html
2020-09-28 14:32:04,225|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/da-den-luc-phai-cho-hoc-sinh-dung-dien-thoai-tren-lop-4166997.html
2020-09-28 14:32:04,348|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/bon-cau-do-toan-hoc-4167440.html
